Location,median_income
"Logan County, Colorado: Summary level: 050, state:08> county:075",57275
"Montezuma County, Colorado: Summary level: 050, state:08> county:083",55716
"San Miguel County, Colorado: Summary level: 050, state:08> county:113",76766
"Teller County, Colorado: Summary level: 050, state:08> county:119",77059
"Yuma County, Colorado: Summary level: 050, state:08> county:125",50945
"Boulder County, Colorado: Summary level: 050, state:08> county:013",103677
"Elbert County, Colorado: Summary level: 050, state:08> county:039",106319
"Las Animas County, Colorado: Summary level: 050, state:08> county:071",52923
"Lincoln County, Colorado: Summary level: 050, state:08> county:073",60238
"Clear Creek County, Colorado: Summary level: 050, state:08> county:019",87684
"Routt County, Colorado: Summary level: 050, state:08> county:107",82122
"Summit County, Colorado: Summary level: 050, state:08> county:117",90271
"Alamosa County, Colorado: Summary level: 050, state:08> county:003",46274
"Delta County, Colorado: Summary level: 050, state:08> county:029",54679
"Fremont County, Colorado: Summary level: 050, state:08> county:043",56007
"Pueblo County, Colorado: Summary level: 050, state:08> county:101",54097
"Montrose County, Colorado: Summary level: 050, state:08> county:085",57310
"Morgan County, Colorado: Summary level: 050, state:08> county:087",57443
"Park County, Colorado: Summary level: 050, state:08> county:093",71529
"Saguache County, Colorado: Summary level: 050, state:08> county:109",45379
"Mesa County, Colorado: Summary level: 050, state:08> county:077",64409
"Prowers County, Colorado: Summary level: 050, state:08> county:099",50313
"Hinsdale County, Colorado: Summary level: 050, state:08> county:053",59886
"El Paso County, Colorado: Summary level: 050, state:08> county:041",75646
"Washington County, Colorado: Summary level: 050, state:08> county:121",60464
"Grand County, Colorado: Summary level: 050, state:08> county:049",74158
"Arapahoe County, Colorado: Summary level: 050, state:08> county:005",84049
"Otero County, Colorado: Summary level: 050, state:08> county:089",45578
"Phillips County, Colorado: Summary level: 050, state:08> county:095",64221
"Archuleta County, Colorado: Summary level: 050, state:08> county:007",54980
"Denver County, Colorado: Summary level: 050, state:08> county:031",77365
"Kiowa County, Colorado: Summary level: 050, state:08> county:061",50417
"Huerfano County, Colorado: Summary level: 050, state:08> county:055",49554
"Baca County, Colorado: Summary level: 050, state:08> county:009",45976
"Chaffee County, Colorado: Summary level: 050, state:08> county:015",67141
"Gilpin County, Colorado: Summary level: 050, state:08> county:047",87417
"Kit Carson County, Colorado: Summary level: 050, state:08> county:063",56845
"Garfield County, Colorado: Summary level: 050, state:08> county:045",79587
"Gunnison County, Colorado: Summary level: 050, state:08> county:051",70978
"Jefferson County, Colorado: Summary level: 050, state:08> county:059",93937
"Mineral County, Colorado: Summary level: 050, state:08> county:079",61667
"Ouray County, Colorado: Summary level: 050, state:08> county:091",71808
"Rio Blanco County, Colorado: Summary level: 050, state:08> county:103",78523
"Sedgwick County, Colorado: Summary level: 050, state:08> county:115",60069
"Weld County, Colorado: Summary level: 050, state:08> county:123",77042
"New Haven County, Connecticut: Summary level: 050, state:09> county:009",85674
"Litchfield County, Connecticut: Summary level: 050, state:09> county:005",94908
"Hartford County, Connecticut: Summary level: 050, state:09> county:003",89300
"Windham County, Connecticut: Summary level: 050, state:09> county:015",77969
"New London County, Connecticut: Summary level: 050, state:09> county:011",85198
"Middlesex County, Connecticut: Summary level: 050, state:09> county:007",104985
"Tolland County, Connecticut: Summary level: 050, state:09> county:013",103241
"Fairfield County, Connecticut: Summary level: 050, state:09> county:001",109946
"Santa Rosa County, Florida: Summary level: 050, state:12> county:113",69748
"Broomfield County, Colorado: Summary level: 050, state:08> county:014",104453
"New Castle County, Delaware: Summary level: 050, state:10> county:003",84859
"Sussex County, Delaware: Summary level: 050, state:10> county:005",67842
"Kent County, Delaware: Summary level: 050, state:10> county:001",66453
"Manatee County, Florida: Summary level: 050, state:12> county:081",65250
"Citrus County, Florida: Summary level: 050, state:12> county:017",50551
"Levy County, Florida: Summary level: 050, state:12> county:075",44692
"Baker County, Florida: Summary level: 050, state:12> county:003",67455
"Volusia County, Florida: Summary level: 050, state:12> county:127",55408
"Leon County, Florida: Summary level: 050, state:12> county:073",72816
"Broward County, Florida: Summary level: 050, state:12> county:011",65596
"Madison County, Florida: Summary level: 050, state:12> county:079",41472
"Monroe County, Florida: Summary level: 050, state:12> county:087",75828
"Escambia County, Florida: Summary level: 050, state:12> county:033",59598
"Hernando County, Florida: Summary level: 050, state:12> county:053",52558
"Hillsborough County, Florida: Summary level: 050, state:12> county:057",65730
"Okaloosa County, Florida: Summary level: 050, state:12> county:091",71292
"Taylor County, Florida: Summary level: 050, state:12> county:123",46224
"Wakulla County, Florida: Summary level: 050, state:12> county:129",65911
"Washington County, Florida: Summary level: 050, state:12> county:133",47753
"Duval County, Florida: Summary level: 050, state:12> county:031",63082
"Bradford County, Florida: Summary level: 050, state:12> county:007",55999
"Brevard County, Florida: Summary level: 050, state:12> county:009",63114
"Clay County, Florida: Summary level: 050, state:12> county:019",71173
"Lafayette County, Florida: Summary level: 050, state:12> county:067",56641
"Lake County, Florida: Summary level: 050, state:12> county:069",60130
"Nassau County, Florida: Summary level: 050, state:12> county:089",73314
"Pinellas County, Florida: Summary level: 050, state:12> county:103",64876
"Polk County, Florida: Summary level: 050, state:12> county:105",53542
"St. Lucie County, Florida: Summary level: 050, state:12> county:111",55618
"Glades County, Florida: Summary level: 050, state:12> county:043",43206
"Hendry County, Florida: Summary level: 050, state:12> county:051",44603
"Indian River County, Florida: Summary level: 050, state:12> county:061",60575
"Jackson County, Florida: Summary level: 050, state:12> county:063",47995
"Palm Beach County, Florida: Summary level: 050, state:12> county:099",71519
"St. Johns County, Florida: Summary level: 050, state:12> county:109",90682
"Seminole County, Florida: Summary level: 050, state:12> county:117",75048
"Miami-Dade County, Florida: Summary level: 050, state:12> county:086",52235
"Bay County, Florida: Summary level: 050, state:12> county:005",61750
